ts_code,trade_date,pe,pb
688559.SH,20250702,,2.595
688559.SH,20250701,,2.6006
688559.SH,20250630,,2.6605
688559.SH,20250627,,2.6669
688559.SH,20250626,,2.7074
688559.SH,20250625,,2.726
688559.SH,20250624,,2.7308
688559.SH,20250623,,2.5853
688559.SH,20250620,,2.5406
688559.SH,20250619,,2.5973
688559.SH,20250618,,2.5933
688559.SH,20250617,,2.6095
688559.SH,20250616,,2.56
688559.SH,20250613,,2.5568
688559.SH,20250612,,2.4936
688559.SH,20250611,,2.436
688559.SH,20250610,,2.466
688559.SH,20250609,,2.4157
688559.SH,20250606,,2.3558
688559.SH,20250605,,2.3144
688559.SH,20250604,,2.3168
688559.SH,20250603,,2.2982
688559.SH,20250530,,2.2869
688559.SH,20250529,,2.3477
688559.SH,20250528,,2.3233
688559.SH,20250527,,2.3363
688559.SH,20250526,,2.3631
688559.SH,20250523,,2.3598
688559.SH,20250522,,2.3874
688559.SH,20250521,,2.4628
688559.SH,20250520,,2.4384
688559.SH,20250519,,2.4563
688559.SH,20250516,,2.5082
688559.SH,20250515,,2.5292
688559.SH,20250514,,2.556
688559.SH,20250513,,2.4992
688559.SH,20250512,,2.5819
688559.SH,20250509,,2.496
688559.SH,20250508,,2.4944
688559.SH,20250507,,2.3914
688559.SH,20250506,,2.3695
688559.SH,20250430,,2.1944
688559.SH,20250429,20.2576,2.0064
688559.SH,20250428,20.4185,2.0223
688559.SH,20250425,21.346,2.1142
688559.SH,20250424,21.1927,2.099
688559.SH,20250423,21.5836,2.1377
688559.SH,20250422,21.2233,2.102
688559.SH,20250421,21.4609,2.1256
688559.SH,20250418,21.1773,2.0975
688559.SH,20250417,21.0624,2.0861
688559.SH,20250416,21.185,2.0983
688559.SH,20250415,21.3843,2.118
688559.SH,20250414,21.4379,2.1233
688559.SH,20250411,21.1543,2.0952
688559.SH,20250410,20.6025,2.0406
688559.SH,20250409,20.0276,1.9836
688559.SH,20250408,19.4605,1.9274
688559.SH,20250407,19.1462,1.8963
688559.SH,20250403,23.6837,2.3457
688559.SH,20250402,24.1895,2.3958
688559.SH,20250401,24.0976,2.3867
688559.SH,20250331,23.7297,2.3503
688559.SH,20250328,23.6683,2.3442
688559.SH,20250327,23.9979,2.3769
688559.SH,20250326,24.0746,2.3844
688559.SH,20250325,24.0899,2.386
688559.SH,20250324,24.0132,2.3784
688559.SH,20250321,25.5232,2.5279
688559.SH,20250320,25.8451,2.5598
688559.SH,20250319,26.328,2.6076
688559.SH,20250318,26.8951,2.6638
688559.SH,20250317,26.8338,2.6577
688559.SH,20250314,25.6688,2.5423
688559.SH,20250313,25.3546,2.5112
688559.SH,20250312,26.144,2.5894
688559.SH,20250311,25.8528,2.5606
688559.SH,20250310,26.0214,2.5773
688559.SH,20250307,25.4159,2.5173
688559.SH,20250306,26.282,2.6031
688559.SH,20250305,25.7761,2.553
688559.SH,20250304,26.8645,2.6608
688559.SH,20250303,27.355,2.7094
688559.SH,20250228,27.0484,2.679
688559.SH,20250227,28.7576,2.5991
688559.SH,20250226,28.6503,2.5894
688559.SH,20250225,26.0214,2.3518
688559.SH,20250224,26.236,2.3712
688559.SH,20250221,26.9105,2.4322
688559.SH,20250220,26.5196,2.3968
688559.SH,20250219,26.4276,2.3885
688559.SH,20250218,25.9831,2.3484
688559.SH,20250217,25.6381,2.3172
688559.SH,20250214,25.8221,2.3338
688559.SH,20250213,26.259,2.3733
688559.SH,20250212,25.5232,2.3068
688559.SH,20250211,24.9713,2.2569
688559.SH,20250210,25.4235,2.2978
688559.SH,20250207,25.7914,2.331
688559.SH,20250206,24.9867,2.2583
688559.SH,20250205,23.2621,2.1024
688559.SH,20250127,23.0552,2.0837
688559.SH,20250124,24.3735,2.2029
688559.SH,20250123,23.8216,2.153
688559.SH,20250122,23.7603,2.1475
688559.SH,20250121,24.2355,2.1904
688559.SH,20250120,24.4501,2.2098
688559.SH,20250117,24.1742,2.1849
688559.SH,20250116,24.6571,2.2285
688559.SH,20250115,24.3198,2.198
688559.SH,20250114,24.7797,2.2396
688559.SH,20250113,23.1318,2.0907
688559.SH,20250110,23.2238,2.099
688559.SH,20250109,23.9826,2.1676
688559.SH,20250108,23.837,2.1544
688559.SH,20250107,24.2125,2.1883
688559.SH,20250106,24.1052,2.1786
688559.SH,20250103,24.2202,2.189
688559.SH,20250102,25.2013,2.2777
688559.SH,20241231,26.3663,2.383
688559.SH,20241230,27.378,2.4744
688559.SH,20241227,27.8609,2.5181
688559.SH,20241226,28.6427,2.5887
688559.SH,20241225,28.5967,2.5846
688559.SH,20241224,29.0106,2.622
688559.SH,20241223,28.2901,2.5569
688559.SH,20241220,28.1138,2.5409
688559.SH,20241219,27.2477,2.4627
688559.SH,20241218,27.0178,2.4419
688559.SH,20241217,27.4393,2.48
688559.SH,20241216,27.9375,2.525
688559.SH,20241213,29.0182,2.6227
688559.SH,20241212,30.0223,2.7134
688559.SH,20241211,30.03,2.7141
688559.SH,20241210,29.6697,2.6816
688559.SH,20241209,29.4628,2.6629
688559.SH,20241206,31.1567,2.816
688559.SH,20241205,31.5782,2.8541
688559.SH,20241204,31.2946,2.8284
688559.SH,20241203,32.3064,2.9199
688559.SH,20241202,33.0958,2.9912
688559.SH,20241129,31.8465,2.8783
688559.SH,20241128,31.08,2.809
688559.SH,20241127,30.2063,2.7301
688559.SH,20241126,30.007,2.712
688559.SH,20241125,29.892,2.7016
688559.SH,20241122,30.0453,2.7155
688559.SH,20241121,31.8235,2.8762
688559.SH,20241120,33.2568,3.0058
688559.SH,20241119,31.5016,2.8471
688559.SH,20241118,30.4669,2.7536
688559.SH,20241115,33.9389,3.0674
688559.SH,20241114,37.0201,3.3459
688559.SH,20241113,37.6179,3.3999
688559.SH,20241112,36.085,3.2614
688559.SH,20241111,37.8249,3.4186
688559.SH,20241108,35.6405,3.2212
688559.SH,20241107,30.4362,2.7508
688559.SH,20241106,28.2365,2.552
688559.SH,20241105,28.5277,2.5783
688559.SH,20241104,26.6729,2.4107
688559.SH,20241101,26.4659,2.392
688559.SH,20241031,28.9569,2.6171
688559.SH,20241030,28.2135,2.565
688559.SH,20241029,29.1026,2.6458
688559.SH,20241028,29.7081,2.7009
688559.SH,20241025,29.8384,2.7127
688559.SH,20241024,27.0944,2.4633
688559.SH,20241023,27.8915,2.5357
688559.SH,20241022,27.4317,2.4939
688559.SH,20241021,27.0024,2.4549
688559.SH,20241018,26.9795,2.4528
688559.SH,20241017,24.6188,2.2382
688559.SH,20241016,24.4501,2.2229
688559.SH,20241015,24.3505,2.2138
688559.SH,20241014,25.1093,2.2828
688559.SH,20241011,24.864,2.2605
688559.SH,20241010,26.3356,2.3943
688559.SH,20241009,26.1363,2.3762
688559.SH,20241008,30.5742,2.7796
688559.SH,20240930,26.8875,2.4444
688559.SH,20240927,23.3694,2.1246
688559.SH,20240926,21.4379,1.97
688559.SH,20240925,20.8631,1.9172
688559.SH,20240924,20.8554,1.9165
688559.SH,20240923,19.5931,1.8005
688559.SH,20240920,20.0178,1.8395
688559.SH,20240919,20.3741,1.8722
688559.SH,20240918,19.8889,1.8276
688559.SH,20240913,20.3969,1.8743
688559.SH,20240912,21.0869,1.9377
688559.SH,20240911,21.2082,1.9489
688559.SH,20240910,20.958,1.9259
688559.SH,20240909,20.6926,1.9015
688559.SH,20240906,20.7002,1.9022
688559.SH,20240905,21.2385,1.9517
688559.SH,20240904,17.5027,2.2609
688559.SH,20240903,17.5407,2.2658
688559.SH,20240902,17.5407,2.2658
688559.SH,20240830,18.0415,2.4542
688559.SH,20240829,17.8197,2.424
688559.SH,20240828,17.0273,2.3162
688559.SH,20240827,16.9892,2.311
688559.SH,20240826,17.6739,2.4042
688559.SH,20240823,17.5344,2.3852
688559.SH,20240822,17.6739,2.4042
688559.SH,20240821,17.8767,2.4318
688559.SH,20240820,17.6865,2.4059
688559.SH,20240819,18.4789,2.5137
688559.SH,20240816,18.853,2.5646
688559.SH,20240815,18.8403,2.5628
688559.SH,20240814,18.8022,2.5577
688559.SH,20240813,20.2222,2.7508
688559.SH,20240812,20.5963,2.8017
688559.SH,20240809,21.4647,2.9199
688559.SH,20240808,21.5218,2.9276
688559.SH,20240807,21.0273,2.8604
688559.SH,20240806,20.2349,2.7526
688559.SH,20240805,19.601,2.6663
688559.SH,20240802,20.2856,2.7595
688559.SH,20240801,20.5519,2.7957
688559.SH,20240731,20.4758,2.7853
688559.SH,20240730,19.5883,2.6646
688559.SH,20240729,19.3728,2.6353
688559.SH,20240726,19.5756,2.6629
688559.SH,20240725,19.5376,2.6577
688559.SH,20240724,19.4742,2.6491
688559.SH,20240723,19.8926,2.706
688559.SH,20240722,20.4124,2.7767
688559.SH,20240719,20.5709,2.7983
688559.SH,20240718,20.1779,2.7448
688559.SH,20240717,19.5186,2.6551
688559.SH,20240716,19.7595,2.6879
688559.SH,20240715,19.62,2.6689
688559.SH,20240712,20.2666,2.7569
688559.SH,20240711,20.292,2.7603
688559.SH,20240710,19.4996,2.6525
688559.SH,20240709,19.1636,2.6068
688559.SH,20240708,18.8593,2.5654
688559.SH,20240705,19.4805,2.6499
688559.SH,20240704,19.6517,2.6732
688559.SH,20240703,20.0764,2.731
688559.SH,20240702,20.2603,2.756
688559.SH,20240701,20.8942,2.8422
688559.SH,20240628,20.8498,2.8362
688559.SH,20240627,20.3807,2.7724
688559.SH,20240626,20.9956,2.856
688559.SH,20240625,19.7975,2.6931
688559.SH,20240624,20.8435,2.8353
688559.SH,20240621,21.9212,2.9819
688559.SH,20240620,22.1874,3.0182
688559.SH,20240619,22.2254,3.0233
688559.SH,20240618,22.7453,3.094
688559.SH,20240617,22.6946,3.0871
688559.SH,20240614,22.5678,3.0699
688559.SH,20240613,22.9925,3.1277
688559.SH,20240612,21.8261,2.969
688559.SH,20240611,21.5852,2.9362
688559.SH,20240607,21.395,2.9104
688559.SH,20240606,21.4394,2.9164
688559.SH,20240605,21.8388,2.9707
688559.SH,20240604,22.8213,3.1044
688559.SH,20240603,22.7643,3.0966
688559.SH,20240531,22.8277,3.1053
688559.SH,20240530,23.0495,3.109
