ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300276.SZ,20250702,10.88,10.88,10.53,10.59,10.88,-0.29,-2.6654,359844.98,382908.042
300276.SZ,20250701,11.05,11.05,10.8,10.88,11.0,-0.12,-1.0909,315058.09,342879.697
300276.SZ,20250630,10.9,11.01,10.85,11.0,10.85,0.15,1.3825,346175.71,379332.325
300276.SZ,20250627,10.77,11.03,10.63,10.85,10.77,0.08,0.7428,445984.31,484879.669
300276.SZ,20250626,10.98,11.11,10.77,10.77,10.93,-0.16,-1.4639,516637.48,564270.433
300276.SZ,20250625,10.87,10.98,10.76,10.93,10.82,0.11,1.0166,633302.96,690118.165
300276.SZ,20250624,10.52,10.96,10.51,10.82,10.48,0.34,3.2443,707405.52,763333.33
300276.SZ,20250623,10.35,10.54,10.33,10.48,10.51,-0.03,-0.2854,341472.01,357927.438
300276.SZ,20250620,10.78,10.92,10.5,10.51,10.93,-0.42,-3.8426,373435.55,396357.345
300276.SZ,20250619,10.97,11.18,10.87,10.93,10.98,-0.05,-0.4554,426151.28,470217.109
300276.SZ,20250618,10.96,11.05,10.75,10.98,10.99,-0.01,-0.091,320604.16,348813.528
300276.SZ,20250617,11.07,11.13,10.95,10.99,11.07,-0.08,-0.7227,249595.45,275136.464
300276.SZ,20250616,10.93,11.12,10.81,11.07,11.04,0.03,0.2717,278304.71,306959.289
300276.SZ,20250613,11.32,11.38,11.02,11.04,11.39,-0.35,-3.0729,461952.88,513917.56
300276.SZ,20250612,11.37,11.53,11.29,11.39,11.47,-0.08,-0.6975,281220.46,320934.612
300276.SZ,20250611,11.52,11.6,11.42,11.47,11.52,-0.05,-0.434,340367.22,391435.046
300276.SZ,20250610,11.37,11.66,11.03,11.52,11.37,0.15,1.3193,515142.31,585873.131
300276.SZ,20250609,11.32,11.52,11.32,11.37,11.31,0.06,0.5305,294192.76,336173.086
300276.SZ,20250606,11.45,11.45,11.27,11.31,11.49,-0.18,-1.5666,261524.49,296445.109
300276.SZ,20250605,11.32,11.53,11.12,11.49,11.28,0.21,1.8617,421101.32,478839.868
300276.SZ,20250604,11.19,11.36,11.18,11.28,11.18,0.1,0.8945,250850.0,282956.94
300276.SZ,20250603,11.02,11.29,11.02,11.18,11.21,-0.03,-0.2676,222740.6,249289.219
300276.SZ,20250530,11.5,11.55,11.16,11.21,11.61,-0.4,-3.4453,367480.29,414039.371
300276.SZ,20250529,11.34,11.68,11.28,11.61,11.2,0.41,3.6607,516169.77,596946.794
300276.SZ,20250528,11.37,11.48,11.12,11.2,11.34,-0.14,-1.2346,349985.61,393993.067
300276.SZ,20250527,11.56,11.6,11.3,11.34,11.66,-0.32,-2.7444,335548.72,382771.168
300276.SZ,20250526,11.51,11.66,11.41,11.66,11.54,0.12,1.0399,323768.02,373709.58
300276.SZ,20250523,11.79,11.96,11.51,11.54,11.79,-0.25,-2.1204,412908.84,484054.497
300276.SZ,20250522,12.01,12.15,11.77,11.79,12.04,-0.25,-2.0764,385331.77,459476.903
300276.SZ,20250521,12.23,12.25,12.01,12.04,12.31,-0.27,-2.1933,403995.27,488189.249
300276.SZ,20250520,12.25,12.42,11.96,12.31,12.22,0.09,0.7365,435218.32,534160.085
300276.SZ,20250519,12.26,12.27,11.85,12.22,12.32,-0.1,-0.8117,492614.48,593810.893
300276.SZ,20250516,12.3,12.61,12.27,12.32,12.34,-0.02,-0.1621,520938.62,648399.538
300276.SZ,20250515,12.76,12.76,12.32,12.34,12.7,-0.36,-2.8346,536451.89,666058.819
300276.SZ,20250514,12.72,12.86,12.57,12.7,12.84,-0.14,-1.0903,664370.52,843543.528
300276.SZ,20250513,13.38,13.38,12.77,12.84,13.25,-0.41,-3.0943,1101360.4,1424484.876
300276.SZ,20250512,12.39,13.36,12.32,13.25,12.21,1.04,8.5176,1741119.34,2251471.033
300276.SZ,20250509,12.43,12.47,12.01,12.21,12.57,-0.36,-2.864,739370.99,902158.36
300276.SZ,20250508,12.4,12.98,12.3,12.57,12.4,0.17,1.371,1030239.19,1302260.286
300276.SZ,20250507,12.63,12.72,12.17,12.4,12.48,-0.08,-0.641,881508.62,1096819.548
300276.SZ,20250506,12.18,12.49,12.05,12.48,12.03,0.45,3.7406,849331.13,1045723.459
300276.SZ,20250430,11.63,12.15,11.63,12.03,11.63,0.4,3.4394,737243.44,879348.688
